Time,40K plat,4K cyl,40K shield,ivc
1724398342.6755822,298.3678,299.8858,299.3006,299.7015
1724398344.492963,298.3684,299.8848,299.301,299.7011
1724398346.3216586,298.3684,299.8863,299.3007,299.7015
1724398348.168161,298.3682,299.8866,299.3011,299.7012
1724398349.9990299,298.3686,299.8845,299.3007,299.7015
1724398351.8290107,298.3664,299.886,299.3009,299.7009
1724398353.6547563,298.3694,299.8865,299.3009,299.7012
1724398355.4889817,298.3684,299.8872,299.3012,299.7015
1724398357.3274364,298.3663,299.887,299.3008,299.7009
1724398359.162386,298.3663,299.8854,299.3009,299.7004
1724398360.993152,298.3681,299.8866,299.3006,299.7014
1724398362.8256843,298.3686,299.8876,299.3002,299.7009
1724398364.6475918,298.3677,299.8854,299.3009,299.7014
1724398366.4615748,298.3687,299.8859,299.301,299.7014
1724398368.2887735,298.3664,299.8849,299.3004,299.7007
1724398370.1241956,298.3674,299.8853,299.3013,299.7015
1724398371.9488845,298.3676,299.8861,299.3012,299.7011
1724398373.7894819,298.3665,299.8853,299.3013,299.7014
1724398375.6138523,298.3677,299.8849,299.3007,299.7009
1724398377.448538,298.3679,299.8866,299.3009,299.701
1724398379.277806,298.3694,299.8859,299.3013,299.7015
1724398381.108502,298.3684,299.8869,299.3013,299.7015
1724398382.9434798,298.3676,299.8862,299.3011,299.7008
1724398384.779408,298.3672,299.8861,299.3009,299.7017
1724398386.6162043,298.3682,299.8869,299.301,299.7015
1724398388.447905,298.3684,299.8861,299.3005,299.7018
1724398390.279272,298.3682,299.8866,299.3006,299.7011
1724398392.1065123,298.3687,299.8862,299.3007,299.7013
1724398393.9407237,298.3681,299.886,299.301,299.7013
1724398395.7728689,298.368,299.8864,299.3013,299.7005
1724398397.609049,298.368,299.8854,299.3011,299.7015
1724398399.434326,298.368,299.8865,299.3012,299.7012
1724398401.2690954,298.3673,299.8869,299.3006,299.7014
1724398403.1020021,298.3692,299.8854,299.3014,299.7014
1724398404.9196548,298.3677,299.8871,299.3006,299.7013
1724398406.748995,298.3684,299.8856,299.3013,299.702
1724398408.5855305,298.3674,299.885,299.3016,299.7017
1724398410.4171824,298.3703,299.8858,299.3008,299.7017
1724398412.2526057,298.3701,299.8864,299.301,299.7015
1724398414.0854254,298.3678,299.8863,299.301,299.7015
1724398415.9143922,298.3692,299.8863,299.301,299.7009
1724398417.7512538,298.3685,299.8852,299.3015,299.702
1724398419.58288,298.369,299.8854,299.3014,299.7015
1724398421.4096825,298.3689,299.8852,299.3013,299.7018
1724398423.2298484,298.3679,299.8869,299.3014,299.7019
1724398425.0596821,298.368,299.8865,299.3009,299.7012
1724398426.8920326,298.3689,299.8876,299.3013,299.7017
1724398428.723036,298.3683,299.8861,299.3012,299.7019
1724398430.554583,298.3668,299.886,299.3008,299.7015
1724398432.389103,298.3686,299.8863,299.3017,299.702
1724398434.222245,298.3693,299.8866,299.3011,299.7014
1724398436.0439472,298.3672,299.8857,299.3011,299.7014
1724398437.8678558,298.3705,299.8869,299.3011,299.7018
1724398439.7014725,298.3689,299.8856,299.3009,299.7018
1724398441.531179,298.3682,299.8851,299.3014,299.7012
1724398443.3682516,298.3696,299.8876,299.3015,299.7021
1724398445.2014823,298.3688,299.8848,299.3013,299.7015
1724398447.0378861,298.3681,299.8857,299.3013,299.7016
1724398448.8885875,298.3668,299.8852,299.3013,299.7016
1724398450.7225063,298.3675,299.8858,299.3018,299.7018
1724398452.5614429,298.3705,299.8869,299.3009,299.7018
1724398454.394807,298.3678,299.887,299.3008,299.7015
1724398456.2299314,298.3679,299.887,299.3017,299.702
1724398458.0663078,298.367,299.8848,299.3013,299.7019
1724398459.8994427,298.3687,299.8866,299.3013,299.702
1724398461.7216456,298.3675,299.8859,299.3012,299.7013
1724398463.554411,298.3697,299.886,299.301,299.7014
1724398465.3861701,298.3693,299.886,299.3015,299.702
1724398467.217728,298.3685,299.8855,299.3009,299.7023
1724398469.0354009,298.3674,299.8864,299.3017,299.702
1724398470.8567498,298.3684,299.8853,299.3011,299.701
1724398472.691635,298.3673,299.8857,299.3012,299.7023
1724398474.5242002,298.369,299.8869,299.3013,299.7019
1724398476.353348,298.3695,299.8859,299.3017,299.7022
1724398478.1876621,298.3703,299.887,299.3011,299.7017
1724398480.016612,298.3679,299.8873,299.3007,299.7024
1724398481.8485007,298.3687,299.8863,299.3015,299.7016
1724398483.678049,298.3695,299.887,299.3015,299.7021
1724398485.5080414,298.3681,299.8865,299.3013,299.7015
1724398487.3404174,298.3686,299.8867,299.3013,299.7023
1724398489.1625195,298.3686,299.8852,299.3007,299.702
1724398490.9970455,298.3696,299.8874,299.3017,299.7016
1724398492.8298368,298.3689,299.8863,299.3013,299.7023
1724398494.6682572,298.3691,299.8871,299.3016,299.702
1724398496.5009367,298.3677,299.8854,299.3016,299.7016
1724398498.3256261,298.3704,299.8878,299.3014,299.7021
1724398500.1577842,298.3665,299.8863,299.3014,299.7017
1724398501.9860165,298.3686,299.8873,299.3015,299.7016
1724398503.8218641,298.3684,299.8859,299.3013,299.7018
1724398505.6454499,298.3688,299.8858,299.3013,299.702
1724398507.4789588,298.3696,299.8869,299.3017,299.7023
1724398509.313788,298.3691,299.8856,299.3013,299.7023
1724398511.1517932,298.3693,299.8854,299.3014,299.7019
1724398512.9824588,298.369,299.886,299.3016,299.7018
1724398514.8163931,298.3684,299.8869,299.3021,299.7017
1724398516.6511164,298.3683,299.8865,299.302,299.7021
1724398518.495048,298.3688,299.8868,299.3012,299.7023
1724398520.332386,298.3691,299.8863,299.301,299.7025
1724398522.1655571,298.3696,299.8874,299.3016,299.7021
1724398523.996651,298.3697,299.8863,299.3013,299.7017
1724398525.8257513,298.3691,299.887,299.3015,299.7021
1724398527.6687539,298.3687,299.8875,299.3014,299.7023
1724398529.5041134,298.3694,299.8874,299.3015,299.7025
1724398531.3324492,298.3693,299.8874,299.3017,299.7019
1724398533.1669633,298.3686,299.8853,299.3014,299.7025
1724398534.9996748,298.3701,299.8861,299.3013,299.7026
1724398536.833497,298.3673,299.8861,299.3018,299.7025
1724398538.6527448,298.3688,299.8869,299.3014,299.7025
1724398540.4857507,298.3687,299.8876,299.3019,299.7022
1724398542.3200488,298.3695,299.887,299.3014,299.702
